area,name,left20,left30,left40,left50,left60,left70,left80,left90,peak,peakdate,peakvalue,right90,right80,right70,right60,right50,right40,right30,right20
新北市新莊區 20-34,NPj2,2,4,1,2,2,3,4,4,2,1,2,1,2,3,3,1,1,2,3
新北市新莊區 35-54,NPj3,4,4,1,2,2,3,4,4,3,2,1,1,2,1,3,4,3,2,1
新北市新莊區 55+,NPj4,2,3,4,3,1,1,3,3,2,4,4,1,4,2,1,3,3,2,1
新北市樹林區 0-19,NPk1,2,4,1,2,2,3,4,4,2,2,1,4,4,2,1,4,1,2,1
新北市樹林區 20-34,NPk2,4,4,2,2,2,3,4,4,2,2,2,4,1,4,1,3,3,2,1
新北市樹林區 35-54,NPk3,1,1,2,2,2,3,4,4,2,2,1,4,4,2,1,4,3,2,1
新北市樹林區 55+,NPk4,4,4,2,2,2,3,4,4,2,4,4,4,1,4,1,3,3,2,1
新北市蘆洲區 0-19,NPl1,4,4,1,2,2,3,4,4,1,1,1,1,2,3,4,1,4,1,4
新北市蘆洲區 20-34,NPl2,1,4,2,2,2,3,4,4,2,1,1,1,2,3,4,1,4,1,2
新北市蘆洲區 35-54,NPl3,1,4,2,2,2,1,4,4,1,1,1,1,2,1,3,4,1,2,3
新北市蘆洲區 55+,NPl4,1,4,2,2,2,3,4,4,1,1,4,1,2,1,3,4,1,2,3
