"","left20","left30","left40","left50","left60","left70","left80","left90","peak","peakdate","peakvalue","smooth","right90","right80","right70","right60","right50","right40","right30","right20"
"NTk1",1,3,4,2,3,4,2,3,1,2,3,4,3,2,3,1,1,2,3,4
"NTk2",1,1,4,2,3,4,2,3,1,2,3,4,3,2,3,1,1,2,3,4
"NTk3",1,1,4,2,3,4,2,3,1,2,3,1,3,2,3,1,1,2,3,4
"NTk4",1,1,4,2,3,4,2,3,1,2,2,2,3,2,3,1,1,2,3,4
"NTl1",1,3,4,2,3,4,2,3,1,2,2,4,3,2,4,3,2,1,2,0
"NTl2",1,3,4,4,4,2,4,3,1,2,3,4,3,3,3,1,4,1,1,0
"NTl3",1,3,4,2,3,4,4,3,1,2,2,4,3,1,4,2,2,1,2,0
"NTl4",1,3,4,4,4,4,4,3,3,2,4,1,3,3,4,2,2,4,2,0
"KLa1",1,3,4,2,3,4,2,3,1,3,3,4,3,2,3,1,1,2,4,3
"KLa2",1,3,4,4,4,4,4,3,1,2,3,4,3,3,3,1,2,2,3,3
"KLa3",1,3,4,2,3,4,2,3,1,2,3,1,3,2,3,1,1,2,3,4
"KLa4",1,3,4,2,3,4,2,3,1,2,2,1,3,2,3,1,3,2,3,4
"KLb1",1,3,4,2,3,4,2,3,1,3,3,4,3,2,3,1,1,2,3,4
"KLb2",1,3,4,2,3,4,4,3,1,3,3,4,3,2,3,1,2,4,4,3
"KLb3",1,3,4,2,3,4,4,3,1,3,2,4,3,3,3,2,2,4,3,4
"KLb4",1,3,4,2,3,4,2,3,1,3,2,1,3,3,4,2,4,4,4,4
"KLc1",2,4,4,4,4,2,4,3,1,3,3,4,4,1,4,1,3,2,4,1
"KLc2",1,3,4,2,3,4,4,3,1,3,3,4,3,3,4,2,2,4,4,3
"KLc3",2,4,4,4,4,4,4,3,1,3,3,4,3,1,4,1,3,2,3,3
"KLc4",2,4,4,4,4,2,4,3,1,3,2,2,3,1,4,2,2,2,4,4
"KLd1",4,4,4,4,3,4,2,3,1,3,2,1,3,2,3,2,2,4,3,4
"KLd2",1,1,4,2,3,4,2,3,1,3,3,4,3,2,3,1,3,2,3,4
"KLd3",2,4,2,4,4,4,2,3,1,3,2,1,3,2,3,1,2,2,3,4
"KLd4",2,4,2,4,4,2,4,3,1,2,2,2,3,3,3,1,3,2,3,4
"KLe1",1,3,4,2,3,4,2,3,1,3,3,4,3,3,3,1,3,2,3,3
"KLe2",1,4,4,4,4,2,4,3,1,3,3,4,3,1,4,2,4,4,4,2
"KLe3",1,3,4,2,3,4,4,3,3,3,3,1,3,3,4,2,3,2,3,1
"KLe4",2,4,2,1,2,2,4,3,1,2,2,1,3,1,4,2,2,2,3,4
"KLf1",2,4,2,4,4,4,4,3,3,2,3,4,3,3,3,1,2,2,3,1
"KLf2",1,3,4,2,3,4,2,3,1,3,3,4,3,2,3,1,3,2,4,1
"KLf3",1,3,4,4,4,2,4,1,1,2,3,1,4,1,1,2,2,2,3,1
"KLf4",1,4,4,4,4,2,4,3,1,2,2,1,4,1,4,2,2,4,3,3
"KLg1",1,3,4,4,4,4,4,3,1,2,3,4,3,3,3,1,1,2,4,1
"KLg2",1,3,4,2,3,4,2,3,3,3,3,1,3,2,3,1,1,2,3,4
"KLg3",1,3,4,2,3,4,2,3,1,2,3,4,3,2,3,1,1,2,3,4
"KLg4",1,1,4,2,3,4,2,3,1,3,2,2,3,2,3,1,1,2,3,4
"TYa1",1,3,4,2,3,4,4,3,3,2,4,2,3,3,3,1,2,1,2,0
"TYa2",1,3,4,4,4,2,4,3,1,2,4,2,3,3,3,4,4,4,1,3
"TYa3",1,3,4,4,4,4,4,3,1,2,4,2,3,2,3,1,4,4,4,1
"TYa4",1,3,4,4,4,4,4,3,1,4,4,2,3,3,4,3,4,4,4,2
"TYb1",1,4,4,4,4,2,4,3,1,2,2,4,3,3,4,2,2,1,2,0
"TYb2",1,3,4,2,4,2,4,1,1,2,3,4,4,1,4,2,2,4,1,0
"TYb3",1,3,4,4,4,2,3,3,1,2,2,4,3,3,3,1,2,2,1,0
"TYb4",1,4,4,4,4,4,4,3,1,4,4,1,3,2,3,1,2,2,4,1
"TYc1",1,3,4,4,4,4,4,3,1,2,2,4,3,1,1,2,4,4,1,0
"TYc2",1,3,4,2,3,4,4,1,1,2,2,4,4,1,4,2,4,4,4,0
"TYc3",1,3,4,2,3,4,4,3,1,2,2,1,3,3,4,2,2,4,4,2
"TYc4",1,4,4,4,4,2,4,3,3,4,4,2,3,1,4,2,2,4,4,1
"TYd1",1,4,4,4,4,4,2,3,1,2,3,4,3,2,3,1,2,2,1,2
"TYd2",1,4,4,4,4,4,2,3,3,2,3,4,3,3,3,2,2,4,1,1
"TYd3",1,3,4,2,3,4,2,3,1,2,2,1,3,3,3,1,2,4,4,1
"TYd4",1,3,4,2,3,4,2,3,1,2,4,2,3,3,3,1,2,4,4,3
"TYe1",1,3,4,4,4,4,2,3,1,2,3,4,3,2,3,1,3,2,4,1
"TYe2",2,3,4,2,3,4,4,3,3,3,3,4,3,3,3,1,3,4,3,3
"TYe3",1,3,4,2,3,4,4,3,1,2,3,4,3,3,3,1,2,2,3,3
"TYe4",1,1,4,2,3,4,2,3,1,2,4,2,3,3,4,2,4,4,3,3
"TYf1",1,4,4,4,4,4,4,3,1,2,1,3,3,2,3,2,4,4,1,0
"TYf2",1,3,4,2,3,4,4,3,1,3,1,3,4,3,3,2,4,4,4,1
"TYf3",1,3,4,4,4,4,4,3,1,2,1,3,3,3,4,2,2,4,4,0
"TYf4",1,4,4,4,4,2,4,3,3,2,3,4,3,3,4,2,2,4,4,0
"TYg1",2,4,2,1,2,2,4,3,3,4,4,1,3,1,1,2,2,1,2,0
"TYg2",2,4,2,1,2,2,3,3,1,4,2,1,3,2,4,2,3,2,4,0
"TYg3",2,4,2,4,2,2,3,3,1,4,4,1,3,1,4,2,2,2,4,1
"TYg4",2,4,2,1,2,1,4,3,3,4,4,2,3,1,4,2,2,4,4,0
"TYh1",1,1,4,2,3,4,2,3,1,2,2,4,3,3,4,2,4,1,1,0
"TYh2",1,1,4,2,3,4,2,3,1,2,3,4,3,2,3,1,3,4,4,3
"TYh3",1,1,4,2,3,4,2,3,1,2,3,1,3,2,3,1,3,2,3,3
"TYh4",1,1,4,2,3,4,2,3,1,2,2,1,3,3,4,2,2,2,4,1
"TYi1",1,3,4,2,3,4,4,1,4,2,4,1,4,1,1,3,2,4,1,0
"TYi2",1,3,4,2,3,4,4,3,1,2,2,1,3,3,3,1,3,2,3,3
"TYi3",1,3,4,2,3,4,4,3,1,2,4,2,3,2,3,1,1,2,3,3
"TYi4",1,1,4,2,3,4,4,3,1,2,4,2,3,1,4,2,2,4,1,2
"TYj1",1,3,4,2,3,4,2,3,3,2,3,1,3,3,4,1,2,2,1,3
"TYj2",1,1,4,2,3,4,2,3,1,2,3,1,3,1,1,2,2,4,4,3
"TYj3",1,3,4,4,4,4,4,3,1,2,2,1,3,3,3,1,3,2,4,3
"TYj4",1,1,4,2,3,4,2,3,1,2,2,2,3,3,3,1,2,2,4,4
"TYk1",1,3,4,2,3,4,4,3,1,2,2,4,3,3,3,3,4,1,2,0
"TYk2",1,3,4,4,4,4,4,3,3,2,2,4,3,4,2,3,4,1,1,0
"TYk3",1,1,4,2,3,4,4,3,3,2,2,4,4,1,1,3,4,4,4,2
"TYk4",1,4,4,4,4,2,3,1,4,2,4,2,1,1,4,2,2,4,1,2
"TYl1",2,4,2,4,4,4,4,3,1,2,1,3,3,3,3,3,4,1,2,0
"TYl2",1,3,4,2,4,4,4,3,1,3,1,3,3,3,3,2,2,4,4,2
"TYl3",1,3,4,4,4,4,4,3,1,2,1,3,3,3,3,2,4,4,1,0
"TYl4",1,3,4,2,3,4,4,3,3,2,3,4,3,1,4,4,4,1,1,0
"TCa1",4,2,1,1,2,1,3,4,2,4,4,4,2,4,2,4,4,0,0,0
"TCa2",3,2,1,3,1,1,3,3,3,1,2,4,4,1,2,3,4,3,0,0
"TCa3",4,2,1,1,2,1,3,1,3,1,4,1,1,4,2,3,4,3,0,0
"TCa4",4,2,2,1,2,1,3,4,1,1,4,2,2,4,1,2,2,4,4,0
"TCb1",4,2,2,1,2,1,3,1,1,1,4,4,1,1,1,3,4,3,0,0
"TCb2",3,2,1,1,2,1,3,4,1,1,3,4,1,1,1,3,4,1,2,0
"TCb3",4,4,2,1,2,2,3,1,4,1,4,1,1,1,1,3,4,4,2,0
"TCb4",2,4,4,4,4,4,4,3,1,1,4,2,3,1,1,2,2,4,4,3
"TCc1",4,2,1,1,2,1,3,1,1,1,2,4,4,1,1,2,2,4,4,0
"TCc2",4,2,2,1,2,1,3,1,1,1,2,1,1,1,1,2,2,4,3,0
"TCc3",4,2,2,1,2,1,3,3,1,1,2,1,3,1,4,2,2,4,3,0
"TCc4",2,2,1,3,1,1,1,1,1,1,4,2,1,1,4,2,2,2,3,4
"TCd1",2,4,2,1,2,1,3,4,2,1,2,4,2,4,1,2,2,4,1,0
"TCd2",2,4,2,4,2,2,3,4,2,1,2,4,1,4,1,2,2,4,4,0
"TCd3",2,4,2,4,2,2,3,1,3,1,2,1,1,1,1,2,2,4,4,0
"TCd4",2,4,2,1,2,2,3,1,1,1,4,2,4,1,4,2,3,2,3,4
"TCe1",4,2,1,1,2,1,3,4,1,1,4,4,1,4,1,3,4,3,0,0
"TCe2",3,2,3,3,1,1,1,3,1,1,2,4,4,1,4,2,4,1,2,0
"TCe3",3,2,1,3,1,1,1,1,1,1,4,4,1,1,1,2,4,1,1,0
"TCe4",2,4,2,1,2,1,3,4,4,1,4,2,2,4,2,3,4,4,3,0
"TCf1",3,2,1,1,1,1,3,3,1,1,2,4,3,3,4,2,2,4,2,0
"TCf2",4,4,2,1,2,2,3,3,1,1,2,1,3,3,4,2,2,4,4,0
"TCf3",4,2,1,1,2,1,3,3,1,1,4,1,3,3,3,2,2,4,4,0
"TCf4",2,4,2,1,2,1,3,1,1,1,4,2,4,1,4,2,2,2,3,0
"TCg1",1,4,4,4,4,4,4,1,4,4,2,4,4,4,2,3,4,3,0,0
"TCg2",3,2,3,3,1,3,1,4,1,1,3,4,2,4,1,3,4,3,2,0
"TCg3",4,2,1,3,1,1,1,2,1,1,4,1,2,4,1,3,4,1,2,0
"TCg4",2,4,2,1,2,1,3,4,2,1,4,2,2,4,2,3,4,4,1,0
"TCh1",2,4,2,1,2,1,3,4,2,4,2,4,2,4,2,3,4,3,0,0
"TCh2",4,2,1,3,1,1,1,4,2,1,2,4,2,4,2,4,4,1,0,0
"TCh3",1,4,4,4,4,4,4,3,3,4,4,4,3,4,2,4,4,1,2,0
"TCh4",1,3,4,4,4,2,4,3,1,4,4,2,3,4,2,3,4,4,4,0
"TCi1",3,2,3,3,1,3,1,3,1,1,4,1,3,2,3,1,1,2,2,0
"TCi2",3,2,1,3,1,1,1,4,1,1,2,4,2,4,2,4,4,1,0,0
"TCi3",4,2,2,1,2,1,3,1,4,1,4,1,1,1,4,2,4,4,1,0
"TCi4",2,4,2,4,2,2,3,4,2,1,4,2,1,4,1,2,2,2,3,4
"TCj1",4,2,1,3,1,3,1,2,1,1,4,4,2,4,2,4,4,3,0,0
"TCj2",2,4,2,1,2,2,3,1,4,1,2,1,4,1,1,2,2,4,4,0
"TCj3",4,2,2,1,2,2,3,1,4,1,4,1,1,1,4,2,2,4,1,0
