,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
KHc,2,3,5,2,2,2,2,4,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHj,2,3,5,2,2,2,2,4,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHh,2,3,4,2,2,2,2,4,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHi,3,2,2,3,3,3,3,2,8,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,6,3,4,4,5,3,3,3,7,1,6,3,6,5,8,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHd,4,2,2,8,4,7,5,2,3,2,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,3,3,3,3,6,3,3,3,4,4,8,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHg,4,2,2,5,4,5,6,2,3,2,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,3,3,3,3,5,3,3,3,4,4,5,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHf,4,2,2,7,4,8,5,2,3,2,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,3,3,3,3,6,3,3,3,4,4,7,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHl,4,2,2,7,4,8,5,2,3,2,4,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4,3,3,3,3,6,3,3,3,4,4,7,3,1,3,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHk,7,2,2,4,7,4,4,2,3,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,3,3,3,3,4,3,3,3,7,5,4,3,1,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHe,9,2,2,4,9,4,4,2,3,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,3,3,3,3,4,3,3,3,8,5,4,3,1,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KHa,9,2,2,4,9,4,4,2,3,2,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,3,3,3,3,4,3,3,3,8,5,4,3,1,3,6,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
