,KHa,KHb,KHc,KHd,KHe,KHf,KHg,KHh,KHi,KHj,KHk,KHl,KLa,KLb,KLc,KLd,KLe,KLf,KLg,NTa,NTb,NTc,NTd,NTe,NTf,NTg,NTh,NTi,NTj,NTk,NTl,TCa,TCb,TCc,TCd,TCe,TCf,TCg,TCh,TCi,TCj,TCk,TCl,TNa,TNb,TNc,TNd,TNe,TNf,TNg,TNh,TNi,TNj,TNk,TNl,TPa,TPb,TPc,TPd,TPe,TPf,TPg,TPh,TPi,TPj,TPk,TPl,TYa,TYb,TYc,TYd,TYe,TYf,TYg,TYh,TYi,TYj,TYk,TYl
TNh,4,3,3,4,4,4,4,3,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,7,6,4,5,4,6,5,6,4,8,4,5,1,7,4,5,8,5,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
TNi,4,3,3,4,4,4,4,3,6,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,5,5,4,7,4,5,7,5,4,5,4,7,1,5,4,6,5,7,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
TNl,4,3,3,4,4,4,4,3,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,6,7,4,5,4,8,5,8,4,6,4,5,1,6,4,5,6,5,2,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
TNj,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
TNk,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
TNd,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,3,4,2,5,4,4,4,4,5,1,3,4,5
KHj,3,4,6,3,3,3,3,5,3,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
KHh,3,4,5,3,3,3,3,7,3,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
KHb,3,4,4,3,3,3,3,4,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1
KHc,3,4,6,3,3,3,3,5,3,6,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1
KHi,4,3,3,4,4,4,4,3,7,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,5,5,4,6,4,5,6,5,4,5,4,6,1,5,4,7,5,6,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHl,5,3,3,6,5,6,6,3,4,3,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,5,4,4,5,4,7,4,4,4,5,4,5,4,1,4,5,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHd,5,3,3,8,5,8,7,3,4,3,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,5,4,4,5,4,6,4,4,4,5,4,5,4,1,4,5,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHf,5,3,3,8,5,8,7,3,4,3,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,5,4,4,5,4,6,4,4,4,5,4,5,4,1,4,5,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHg,5,3,3,7,5,7,8,3,4,3,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,3,5,4,4,5,4,6,4,4,4,5,4,5,4,1,4,5,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHk,7,3,3,5,7,5,5,3,4,3,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,6,4,4,8,4,5,4,4,4,7,4,8,4,1,4,6,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHa,9,3,3,5,9,5,5,3,4,3,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,6,4,4,7,4,5,4,4,4,8,4,7,4,1,4,6,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
KHe,9,3,3,5,9,5,5,3,4,3,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,6,4,4,7,4,5,4,4,4,8,4,7,4,1,4,6,4,4,4,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
