,1Feature,CE,CE dropped,2Feature,CE,CE dropped,3Feature,CE,CE dropped
180,,,,,,,left30_peakdate_right50,0.4410229,0.088389724
181,,,,,,,left30_peakdate_right40,0.461566733,0.120260655
182,,,,,,,left30_peakvalue_right80,0.352292792,0.124036027
183,,,,,,,left30_peakvalue_right70,0.298519079,0.169278384
184,,,,,,,left30_peakvalue_right60,0.385296854,0.172639771
185,,,,,,,left30_peakvalue_right50,0.359525583,0.169887041
186,,,,,,,left30_peakvalue_right40,0.411674013,0.170153375
187,,,,,,,left30_right80_right70,0.33267684,0.135120623
188,,,,,,,left30_right80_right60,0.410204006,0.066124813
189,,,,,,,left30_right80_right50,0.381197679,0.09513114
190,,,,,,,left30_right80_right40,0.372038092,0.104290727
191,,,,,,,left30_right70_right60,0.420557483,0.04723998
192,,,,,,,left30_right70_right50,0.381972769,0.085824694
193,,,,,,,left30_right70_right40,0.415877128,0.051920335
194,,,,,,,left30_right60_right50,0.42571087,0.103701754
195,,,,,,,left30_right60_right40,0.473429667,0.084506958
196,,,,,,,left30_right50_right40,0.472393242,0.057019382
197,,,,,,,left40_left50_left60,0.554099419,0.065106762
198,,,,,,,left40_left50_left70,0.534094583,0.018336298
199,,,,,,,left40_left50_left80,0.36790894,0.03879827
200,,,,,,,left40_left50_left90,0.307262055,0.025844208
201,,,,,,,left40_left50_peak,0.446026527,0.083438908
202,,,,,,,left40_left50_peakdate,0.548034993,0.065159434
203,,,,,,,left40_left50_peakvalue,0.49758767,0.103818172
204,,,,,,,left40_left50_right80,0.363867327,0.053011229
205,,,,,,,left40_left50_right70,0.386497848,0.053722882
206,,,,,,,left40_left50_right60,0.433408423,0.058164616
207,,,,,,,left40_left50_right50,0.434448161,0.079584671
208,,,,,,,left40_left50_right40,0.449082932,0.096484574
209,,,,,,,left40_left60_left70,0.508267129,0.044163752
210,,,,,,,left40_left60_left80,0.391897255,0.014809955
211,,,,,,,left40_left60_left90,0.294687469,0.038418794
212,,,,,,,left40_left60_peak,0.458924885,0.046995043
213,,,,,,,left40_left60_peakdate,0.512598874,0.063328332
214,,,,,,,left40_left60_peakvalue,0.513983083,0.062227238
215,,,,,,,left40_left60_right80,0.31327633,0.075712646
216,,,,,,,left40_left60_right70,0.330496629,0.068466757
217,,,,,,,left40_left60_right60,0.399609957,0.090571383
218,,,,,,,left40_left60_right50,0.377797239,0.06858017
219,,,,,,,left40_left60_right40,0.423219191,0.080509547
220,,,,,,,left40_left70_left80,0.379066124,0.027641086
221,,,,,,,left40_left70_left90,0.303634464,0.029471799
222,,,,,,,left40_left70_peak,0.425712318,0.126718563
223,,,,,,,left40_left70_peakdate,0.46054857,0.056525083
224,,,,,,,left40_left70_peakvalue,0.438270082,0.089364071
225,,,,,,,left40_left70_right80,0.306917543,0.150941735
226,,,,,,,left40_left70_right70,0.331126969,0.124981453
227,,,,,,,left40_left70_right60,0.369751988,0.096928712
228,,,,,,,left40_left70_right50,0.349979932,0.13020917
229,,,,,,,left40_left70_right40,0.374586891,0.099172419
230,,,,,,,left40_left80_left90,0.232946685,0.060624258
231,,,,,,,left40_left80_peak,0.279349096,0.091373292
232,,,,,,,left40_left80_peakdate,0.287391872,0.077752364
233,,,,,,,left40_left80_peakvalue,0.271596285,0.112242664
234,,,,,,,left40_left80_right80,0.149914279,0.094088875
235,,,,,,,left40_left80_right70,0.210171722,0.120589636
236,,,,,,,left40_left80_right60,0.259795428,0.119041518
237,,,,,,,left40_left80_right50,0.237069936,0.110982568
238,,,,,,,left40_left80_right40,0.26534003,0.14136718
239,,,,,,,left40_left90_peak,0.284939751,0.048166512
240,,,,,,,left40_left90_peakdate,0.29085926,0.042247003
241,,,,,,,left40_left90_peakvalue,0.281620624,0.051485639
242,,,,,,,left40_left90_right80,0.243188532,0.084679434
243,,,,,,,left40_left90_right70,0.213632791,0.089837104
244,,,,,,,left40_left90_right60,0.266785962,0.039525496
245,,,,,,,left40_left90_right50,0.243123619,0.089982644
246,,,,,,,left40_left90_right40,0.272839646,0.060266617
247,,,,,,,left40_peak_peakdate,0.447117421,0.11259778
248,,,,,,,left40_peak_peakvalue,0.476995685,0.082719516
249,,,,,,,left40_peak_right80,0.312262342,0.152333733
250,,,,,,,left40_peak_right70,0.2843142,0.214391793
251,,,,,,,left40_peak_right60,0.362302111,0.19741309
252,,,,,,,left40_peak_right50,0.394332838,0.165382363
253,,,,,,,left40_peak_right40,0.386742786,0.172972415
254,,,,,,,left40_peakdate_peakvalue,0.594554353,0.114579321
255,,,,,,,left40_peakdate_right80,0.40050294,0.064093135
256,,,,,,,left40_peakdate_right70,0.398958933,0.09974706
257,,,,,,,left40_peakdate_right60,0.445300066,0.129028938
258,,,,,,,left40_peakdate_right50,0.434030918,0.128757816
259,,,,,,,left40_peakdate_right40,0.460690512,0.131666049
260,,,,,,,left40_peakvalue_right80,0.375792477,0.088803598
261,,,,,,,left40_peakvalue_right70,0.331727888,0.166978105
262,,,,,,,left40_peakvalue_right60,0.48496638,0.089362624
263,,,,,,,left40_peakvalue_right50,0.437673291,0.125115443
264,,,,,,,left40_peakvalue_right40,0.476910476,0.115446085
265,,,,,,,left40_right80_right70,0.345115803,0.119480272
266,,,,,,,left40_right80_right60,0.391006025,0.07359005
267,,,,,,,left40_right80_right50,0.42050946,0.044086615
268,,,,,,,left40_right80_right40,0.391808284,0.072787791
269,,,,,,,left40_right70_right60,0.432874792,0.065831201
270,,,,,,,left40_right70_right50,0.397056427,0.101649566
271,,,,,,,left40_right70_right40,0.431423076,0.067282917
272,,,,,,,left40_right60_right50,0.455385612,0.107403122
273,,,,,,,left40_right60_right40,0.484548998,0.089780006
274,,,,,,,left40_right50_right40,0.493378266,0.069410468
275,,,,,,,left50_left60_left70,0.535531221,0.042819513
276,,,,,,,left50_left60_left80,0.378608378,0.054008708
277,,,,,,,left50_left60_left90,0.298886219,0.037153564
278,,,,,,,left50_left60_peak,0.448765419,0.057154509
279,,,,,,,left50_left60_peakdate,0.515643008,0.060284198
280,,,,,,,left50_left60_peakvalue,0.461021603,0.115188718
281,,,,,,,left50_left60_right80,0.292342689,0.096646287
282,,,,,,,left50_left60_right70,0.322561983,0.076401403
283,,,,,,,left50_left60_right60,0.392476033,0.097705307
284,,,,,,,left50_left60_right50,0.383734505,0.062642904
285,,,,,,,left50_left60_right40,0.429806536,0.073922202
286,,,,,,,left50_left70_left80,0.413119945,0.019497141
287,,,,,,,left50_left70_left90,0.323504647,0.012597213
288,,,,,,,left50_left70_peak,0.434030918,0.095434517
289,,,,,,,left50_left70_peakdate,0.449839927,0.067233726
290,,,,,,,left50_left70_peakvalue,0.436606472,0.091027681
291,,,,,,,left50_left70_right80,0.299088285,0.117790271
292,,,,,,,left50_left70_right70,0.321219047,0.119001683
293,,,,,,,left50_left70_right60,0.352406529,0.114274171
